Table with row headings in Column A and column headings and rows 5-6.  ,,,,,,
,,,,,,
Table 5.  Homeownership Rates for the United States:  1968 to 2008,,,,,,
               (in percent)  ,,,,,,
Year,First Quarter,Second Quarter ,Third Quarter,Fourth Quarter,,
,,,,,,
,,,,,,
2008,67.8,68.1,,,,
2007,68.4,68.2,68.2,67.8,,
2006,68.5,68.7,69.0,68.9,,
2005,69.1,68.6,68.8,69.0,,
2004,68.6,69.2,69.0,69.2,,
2003,68.0,68.0,68.4,68.6,,
2002,67.8,67.6,68.0,68.3,,
2002,67.8,67.6,68.0,68.3,,
2001,67.5,67.7,68.1,68.0,,
2000,67.1,67.2,67.7,67.5,,
,,,,,,
1999,66.7,66.6,67.0,66.9,,
1998,65.9,66.0,66.8,66.4,,
1997,65.4,65.7,66.0,65.7,,
1996,65.1,65.4,65.6,65.4,,
1995,64.2,64.7,65.0,65.1,,
1994,63.8,63.8,64.1,64.2,,
1993,63.7,63.9,64.2,64.2,,
1993,64.2,64.4,64.7,64.6,,
1992,64.0,63.9,64.3,64.4,,
1991,63.9,63.9,64.2,64.2,,
1990,64.0,63.7,64.0,64.1,,
1989,63.9,63.8,64.1,63.8,,
,,,,,,
1989,63.9,63.9,64.0,63.8,,
1988,63.7,63.7,64.0,63.8,,
1987,63.8,63.8,64.2,64.1,,
1986,63.6,63.8,63.8,63.9,,
1985,64.1,64.1,63.9,63.5,,
1984,64.6,64.6,64.6,64.1,,
1983,64.7,64.7,64.8,64.4,,
1982,64.8,64.9,64.9,64.5,,
1981,65.6,65.3,65.6,65.2,,
1980,65.5,65.5,65.8,65.5,,
1979,64.8,64.9,65.8,65.4,,
,,,,,,
1979,65.3,65.1,66.0,65.8,,
1978,64.8,64.4,65.2,65.4,,
1977,64.8,64.5,65.0,64.9,,
1976,64.6,64.6,64.9,64.8,,
1975,64.4,64.9,64.6,64.5,,
1974,64.8,64.8,64.6,64.4,,
1973,64.9,64.4,64.4,64.4,,
1972,64.3,64.5,64.3,64.4,,
1971,64.0,64.1,64.4,64.5,,
1970,64.3,64.0,64.4,64.0,,
1969,64.1,64.4,64.4,64.4,,
1968,63.6,64.1,64.1,63.6,,
Footnotes:,,,,,,
\r Revised.,,,,,,
,,,,,,
,,,,,,
,,,,,,
